WD13CD,Ward name,Borough name,Percentage of households with access to: Open Space,Percentage of households with access to: Local Parks,Percentage of households with access to: District Parks,Percentage of households with access to: Metropolitan Parks,Percentage of households with access to: Regional Parks
E05000026,Abbey,Barking and Dagenham,70.7,25.619999999999997,97.98,0,0
E05000027,Alibon,Barking and Dagenham,8.01,19.59,19.06,100,0
E05000028,Becontree,Barking and Dagenham,39.17,32.67,70.98,99.1,0
E05000029,Chadwell Heath,Barking and Dagenham,63.11,63.959999999999994,0,8.95,0
E05000030,Eastbrook,Barking and Dagenham,56.68,12.35,97.03,100,0
E05000031,Eastbury,Barking and Dagenham,77.42999999999999,13.530000000000001,65.34,43.11,0
E05000032,Gascoigne,Barking and Dagenham,87.33,51.7,6.13,0,0
E05000033,Goresbrook,Barking and Dagenham,59.03,82.88,6.32,100,0
E05000034,Heath,Barking and Dagenham,59.260000000000005,3.01,68.45,100,0
E05000035,Longbridge,Barking and Dagenham,62.739999999999995,0.31,100,17.22,0
E05000036,Mayesbrook,Barking and Dagenham,41.93,0,91.94,100,0
E05000037,Parsloes,Barking and Dagenham,55.53,27,4.130000000000001,100,0
E05000038,River,Barking and Dagenham,28.9,60.440000000000005,54.13,94.65,0
E05000039,Thames,Barking and Dagenham,92.47,30.65,4.81,5.92,0
E05000040,Valence,Barking and Dagenham,86.38,38.05,12.13,95.82,0
E05000041,Village,Barking and Dagenham,25.380000000000003,35.83,67.14,100,0
E05000042,Whalebone,Barking and Dagenham,29.659999999999997,4.8500000000000005,18.29,24.490000000000002,0
E05000043,Brunswick Park,Barnet,26.69,23.380000000000003,99.94,24.67,0
E05000044,Burnt Oak,Barnet,25.78,68.32000000000001,12.93,6.569999999999999,0
E05000045,Childs Hill,Barnet,0.86,39.51,22.900000000000002,97.51,0
E05000046,Colindale,Barnet,32.9,52.57000000000001,34.57,29.270000000000003,0
E05000047,Coppetts,Barnet,25.979999999999997,38.019999999999996,9.8,38,0
E05000048,East Barnet,Barnet,46.099999999999994,36.38,98.35000000000001,90.55,0
E05000049,East Finchley,Barnet,60.79,30.520000000000003,0.01,40.37,0
E05000050,Edgware,Barnet,32.12,24,10.14,0,0
E05000051,Finchley Church End,Barnet,49.36000000000001,39.51,8.43,0,0
E05000052,Garden Suburb,Barnet,23.2,58.96,61.71,76.92999999999999,0
E05000053,Golders Green,Barnet,22.79,33.14,3.73,45.910000000000004,0
E05000054,Hale,Barnet,16.93,21.250000000000004,13.69,0,0
E05000055,Hendon,Barnet,44.50999999999999,14.14,73.07,0,0
E05000056,High Barnet,Barnet,38.93,27.49,75.78,0,0
E05000057,Mill Hill,Barnet,56.84,10.690000000000001,68.49,0,0
E05000058,Oakleigh,Barnet,30.320000000000004,21.060000000000002,65.09,0.32,0
E05000059,Totteridge,Barnet,38.89,39.5,74.67999999999999,0,0
E05000060,Underhill,Barnet,39.61,22.59,95.21000000000001,0,0
E05000061,West Finchley,Barnet,27.98,25.82,2.5,0,0
E05000062,West Hendon,Barnet,44.96,47.06,60.51,19.75,0
E05000063,Woodhouse,Barnet,20.229999999999997,41.47,8.27,0,0
E05000064,Barnehurst,Bexley,32.93000000000001,66.43,21.02,20.380000000000003,0
E05000065,Belvedere,Bexley,61.230000000000004,48.81999999999999,0,91.41999999999999,0
E05000066,Blackfen and Lamorbey,Bexley,70.99,27.950000000000003,34.97,91.19999999999999,0
E05000067,Blendon and Penhill,Bexley,41.17,55.510000000000005,0,100,0
E05000068,Brampton,Bexley,10.780000000000001,12.19,0,81.53999999999999,0
E05000069,Christchurch,Bexley,24.45,28.58,16.14,89.89,0
E05000070,Colyers,Bexley,56.04,40.949999999999996,0,18.87,0
E05000071,Crayford,Bexley,86.35,21.85,24.38,44.84,0
E05000072,Cray Meadows,Bexley,56.47,25.259999999999998,0,100,0
E05000073,Danson Park,Bexley,0,43.74,3.81,100,0
E05000074,East Wickham,Bexley,43.98,8.97,68.19999999999999,93.25999999999999,0
E05000075,Erith,Bexley,78.32000000000001,46.77,0,87.15,0
E05000076,Falconwood and Welling,Bexley,6.16,4.66,15.9,99.98,0
E05000077,Lesnes Abbey,Bexley,44.87,34.46,30.509999999999998,100,0
E05000078,Longlands,Bexley,54.87,58.42,0,77.94,0
E05000079,North End,Bexley,47.43000000000001,50.17,0,99.13,0
E05000080,Northumberland Heath,Bexley,85.06,31.240000000000002,0,72.44999999999999,0
E05000081,St. Mary's,Bexley,71.85999999999999,23.32,25.180000000000003,99.44000000000001,0
E05000082,St. Michael's,Bexley,34.14,0,48.64,100,0
E05000083,Sidcup,Bexley,45.87,59.709999999999994,0,90.86,0
E05000084,Thamesmead East,Bexley,73.17,45.98,52.739999999999995,55.44,0
E05000085,Alperton,Brent,56.589999999999996,39.660000000000004,0.62,40.10999999999999,0
E05000086,Barnhill,Brent,15.14,60.650000000000006,0.06999999999999999,100,0
E05000087,Brondesbury Park,Brent,3.7600000000000002,39.61,0.22,6.890000000000001,0
E05000088,Dollis Hill,Brent,0.29,21.72,99.05000000000001,0,0
E05000089,Dudden Hill,Brent,32.76,37.08,84.86,5.2,0
E05000090,Fryent,Brent,43.65,59.870000000000005,26.44,100,0
E05000091,Harlesden,Brent,18.38,18.58,0,34.28,0
E05000092,Kensal Green,Brent,8.63,34.47,0,100,0
E05000093,Kenton,Brent,23.86,43.93,25.3,80.02,0
E05000094,Kilburn,Brent,54.559999999999995,52.49,0,0.13999999999999999,0
E05000095,Mapesbury,Brent,30.95,11.02,69.23,14.66,0
E05000096,Northwick Park,Brent,20.650000000000002,0.5599999999999999,100,37.86,0
E05000097,Preston,Brent,0,44.97,37.01,93.22,0
E05000098,Queens Park,Brent,28.599999999999998,51.85999999999999,0,46.739999999999995,0
E05000099,Queensbury,Brent,39.21,46.410000000000004,0,95.50999999999999,0
E05000100,Stonebridge,Brent,44.019999999999996,51.74999999999999,0,0.02,0
E05000101,Sudbury,Brent,21.42,43.989999999999995,92.4,90.18,0
E05000102,Tokyngton,Brent,52.800000000000004,41.61,0,46.37,0
E05000103,Welsh Harp,Brent,24.07,77.63,42.1,90.92,0
E05000104,Wembley Central,Brent,51.46999999999999,29.74,6.13,54.82,0
E05000105,Willesden Green,Brent,40.5,46.10999999999999,50.99,0.26,0
E05000106,Bickley,Bromley,36.17,12.25,42.89,55.879999999999995,0
E05000107,Biggin Hill,Bromley,48.150000000000006,12.18,0,0,0
E05000108,Bromley Common and Keston,Bromley,52.959999999999994,54.47,40.32,87.1,0
E05000109,Bromley Town,Bromley,33.62,34.07,0,96.07,0
E05000110,Chelsfield and Pratts Bottom,Bromley,67.54,41.89,27.74,65.3,0
E05000111,Chislehurst,Bromley,35.93,9.569999999999999,93.01,66.38999999999999,0
E05000112,Clock House,Bromley,28.909999999999997,38.519999999999996,78.67,82.08,0
E05000113,Copers Cope,Bromley,29.79,4.14,45.25,100,0
E05000114,Cray Valley East,Bromley,70.23,19.580000000000002,0.9900000000000001,81.89999999999999,0
E05000115,Cray Valley West,Bromley,62.75999999999999,21.33,71.11000000000001,100,0
E05000116,Crystal Palace,Bromley,20.89,59.07,2.94,100,0
E05000117,Darwin,Bromley,62.739999999999995,9.21,3.2099999999999995,33.68,0
E05000118,Farnborough and Crofton,Bromley,59.260000000000005,27.82,72.59,38.519999999999996,0
E05000119,Hayes and Coney Hall,Bromley,44.74,33.52,17.65,99.96000000000001,0
E05000120,Kelsey and Eden Park,Bromley,15.160000000000002,30.43,90.37,32.58,0
E05000121,Mottingham and Chislehurst North,Bromley,54.81,24.54,99.91000000000001,0,0
E05000122,Orpington,Bromley,60.760000000000005,24.28,59.230000000000004,1.29,0
E05000123,Penge and Cator,Bromley,29.409999999999997,54.21,6.39,99.98,0
E05000124,Petts Wood and Knoll,Bromley,30.06,49.54,32.730000000000004,72.26,0
E05000125,Plaistow and Sundridge,Bromley,49.480000000000004,37.669999999999995,0,56.21000000000001,0
E05000126,Shortlands,Bromley,14.23,34.35,13.65,88.99000000000001,0
E05000127,West Wickham,Bromley,23.65,30.23,44.010000000000005,65.16,0
E05000128,Belsize,Camden,25.81,34.83,92.41,100,0
E05000129,Bloomsbury,Camden,68.8,63.89,0,100,0
E05000130,Camden Town with Primrose Hill,Camden,72.64999999999999,60.019999999999996,70.64,100,0
E05000131,Cantelowes,Camden,84.48,45.879999999999995,0,100,0
E05000132,Fortune Green,Camden,0.38999999999999996,69.99,0,76.51,0
E05000133,Frognal and Fitzjohns,Camden,44.220000000000006,12.68,5.66,100,0
E05000134,Gospel Oak,Camden,87.1,28.48,4.64,100,0
E05000135,Hampstead Town,Camden,53.67999999999999,28.660000000000004,4.36,100,0
E05000136,Haverstock,Camden,72.21,3.6900000000000004,33.48,100,0
E05000137,Highgate,Camden,53.13,56.71999999999999,5.62,100,0
E05000138,Holborn and Covent Garden,Camden,67.05000000000001,57.49999999999999,3.95,32.76,0
E05000139,Kentish Town,Camden,64.71000000000001,58.79,0,100,0
E05000140,Kilburn,Camden,56.37,51.059999999999995,1.5599999999999998,57.029999999999994,0
E05000141,King's Cross,Camden,95.89000000000001,59.870000000000005,0,71.48,0
E05000142,Regent's Park,Camden,47.510000000000005,69.59,17.71,100,0
E05000143,St. Pancras and Somers Town,Camden,83.49,61.12,0,96.36,0
E05000144,Swiss Cottage,Camden,21.39,47.97,31.52,93.2,0
E05000145,West Hampstead,Camden,18.080000000000002,79.62,0,83.04,0
E09000001,City of London,City of London,97.61223906205319,88.79039176436946,0,0,0
E05000146,Addiscombe,Croydon,0,4.3,15.409999999999998,0,0
E05000147,Ashburton,Croydon,3.58,68.64,99.4,0,0
E05000148,Bensham Manor,Croydon,2.81,38.550000000000004,0,44.58,0
E05000149,Broad Green,Croydon,11.5,18.009999999999998,0,65.47,0
E05000150,Coulsdon East,Croydon,33.190000000000005,36.309999999999995,44.36,99.97999999999999,0
E05000151,Coulsdon West,Croydon,2.29,5.55,1.67,96.96000000000001,0
E05000152,Croham,Croydon,8.19,33.050000000000004,87,42.27,0
E05000153,Fairfield,Croydon,21.41,24.189999999999998,37.21,7.03,0
E05000154,Fieldway,Croydon,47.29,44.04,3.29,0,0
E05000155,Heathfield,Croydon,18.72,37.99,60,72.63,0
E05000156,Kenley,Croydon,35.58,41.410000000000004,55.71999999999999,30.490000000000002,0
E05000157,New Addington,Croydon,17.07,76.27999999999999,75.72,0,0
E05000158,Norbury,Croydon,14.250000000000002,61.150000000000006,25.86,77.71000000000001,0
E05000159,Purley,Croydon,14.23,8.02,61.85999999999999,96.86,0
E05000160,Sanderstead,Croydon,28.78,33.93,64.01,9.620000000000001,0
E05000161,Selhurst,Croydon,18.91,35.63,0,9.24,0
E05000162,Selsdon and Ballards,Croydon,6.890000000000001,30.520000000000003,84.32,82.22,0
E05000163,Shirley,Croydon,3.46,66.07,16.520000000000003,0,0
E05000164,South Norwood,Croydon,8.77,60.17,23.94,55.83,0
E05000165,Thornton Heath,Croydon,21.15,39.44,0,27.889999999999997,0
E05000166,Upper Norwood,Croydon,39.410000000000004,68.34,13.209999999999999,72.06,0
E05000167,Waddon,Croydon,17.990000000000002,56.96,57.410000000000004,97.24000000000001,0
E05000168,West Thornton,Croydon,30.79,2.23,0,97.53,0
E05000169,Woodside,Croydon,33.65,26.880000000000003,80.58000000000001,0,0
E05000170,Acton Central,Ealing,19.119999999999997,72.95,0,94.06,0
E05000171,Cleveland,Ealing,45.050000000000004,43.3,91.36000000000001,9.079999999999998,0
E05000172,Dormers Wells,Ealing,52.57000000000001,84.46000000000001,38.029999999999994,54.26,0
E05000173,Ealing Broadway,Ealing,33.54,14.14,92.31,16.56,0
E05000174,Ealing Common,Ealing,23.72,74.42999999999999,60.8,100,0
E05000175,East Acton,Ealing,53.44,56.31999999999999,4.2,98.58,0
E05000176,Elthorne,Ealing,79.81,27.439999999999998,89.86000000000001,0.01,0
E05000177,Greenford Broadway,Ealing,56.75,43.05,28.060000000000002,100,0
E05000178,Greenford Green,Ealing,32.56,62.88,39.03,99.97,0
E05000179,Hanger Hill,Ealing,26.88,50.669999999999995,25.790000000000003,12.04,0
E05000180,Hobbayne,Ealing,49.94,57.32000000000001,88.73,20.19,0
E05000181,Lady Margaret,Ealing,21.17,83.65,12.24,93.83999999999999,0
E05000182,Northfield,Ealing,37.34,59.18,96.33,73.55000000000001,0
E05000183,North Greenford,Ealing,67.22,43.63999999999999,14.530000000000001,97.85000000000001,0
E05000184,Northolt Mandeville,Ealing,52.46999999999999,88.46000000000001,45.89,99.98,0
E05000185,Northolt West End,Ealing,72.78,19.580000000000002,14.700000000000003,100,0
E05000186,Norwood Green,Ealing,88.94,67.69000000000001,19.11,86.97,0
E05000187,Perivale,Ealing,52.56000000000001,36.65,35.699999999999996,99.31,0
E05000188,South Acton,Ealing,48.36,64.95,0,100,0
E05000189,Southall Broadway,Ealing,40.65,30.34,26.68,97.88,0
E05000190,Southall Green,Ealing,45.94,66.93,0.12,79.66,0
E05000191,Southfield,Ealing,2.43,83.23,1.76,100,0
E05000192,Walpole,Ealing,57.08,17.36,100,45.03,0
E05000193,Bowes,Enfield,70.08,9.37,53.14000000000001,51.64,37.8
E05000194,Bush Hill Park,Enfield,58.13999999999999,18.11,22.869999999999997,0,100
E05000195,Chase,Enfield,61.519999999999996,20.25,56.379999999999995,98.92999999999999,55.120000000000005
E05000196,Cockfosters,Enfield,54.18000000000001,21.8,76.5,94.37,0
E05000197,Edmonton Green,Enfield,83.65,29.49,81.41000000000001,0,100
E05000198,Enfield Highway,Enfield,57.730000000000004,0,99.77000000000001,3.05,100
E05000199,Enfield Lock,Enfield,56.8,24.709999999999997,61.63999999999999,0,100
E05000200,Grange,Enfield,34.910000000000004,13.719999999999999,65.53999999999999,10.040000000000001,61.15999999999999
E05000201,Haselbury,Enfield,75.64999999999999,20.990000000000002,88.83000000000001,0,100
E05000202,Highlands,Enfield,48.17,0,38.629999999999995,62.59,5.09
E05000203,Jubilee,Enfield,33.650000000000006,21.78,68.71000000000001,0,100
E05000204,Lower Edmonton,Enfield,28.13,9.879999999999999,68.41000000000001,0,100
E05000205,Palmers Green,Enfield,29.15,42.37,51.57999999999999,0,68.42
E05000206,Ponders End,Enfield,41.080000000000005,33.78,79.81,0,100
E05000207,Southbury,Enfield,59.84,47.55,44.1,32.33,100
E05000208,Southgate,Enfield,16.040000000000003,0,93.48,67.58,0
E05000209,Southgate Green,Enfield,66.53999999999999,7.449999999999999,99.99,1.17,0
E05000210,Town,Enfield,39.660000000000004,6.09,53.42,95.61,85.72
E05000211,Turkey Street,Enfield,69.19,13.389999999999999,43.79,29.600000000000005,100
E05000212,Upper Edmonton,Enfield,78.36000000000001,30.270000000000003,57.19,0,100
E05000213,Winchmore Hill,Enfield,48.18,0,80.4,0.8500000000000001,26.990000000000002
E05000214,Abbey Wood,Greenwich,99.18,42.47,56.589999999999996,100,0
E05000215,Blackheath Westcombe,Greenwich,61.349999999999994,24.060000000000002,1.73,100,0
E05000216,Charlton,Greenwich,74.4,22.25,95.47,87.65,0
E05000217,Coldharbour and New Eltham,Greenwich,69.89,60.4,44.45,16.34,0
E05000218,Eltham North,Greenwich,69.13,24.36,65.68,93.58,0
E05000219,Eltham South,Greenwich,92.67999999999999,6.83,73.33,93.10000000000001,0
E05000220,Eltham West,Greenwich,97.91000000000001,9.65,79.02,43.94,0
E05000221,Glyndon,Greenwich,77.84,42.980000000000004,72.42,37.2,0
E05000222,Greenwich West,Greenwich,93.77,44.06,0,100,0
E05000223,Kidbrooke with Hornfair,Greenwich,58.099999999999994,32.84,45.58,72.31,0
E05000224,Middle Park and Sutcliffe,Greenwich,95.74000000000001,38.2,57.730000000000004,53.800000000000004,0
E05000225,Peninsula,Greenwich,79.47,31.820000000000004,4.8,99.88,0
E05000226,Plumstead,Greenwich,70.8,0,100,99.97,0
E05000227,Shooters Hill,Greenwich,73.42999999999999,36.11000000000001,74.61,14.06,0
E05000228,Thamesmead Moorings,Greenwich,88.51,50.73000000000001,6.84,24.519999999999996,0
E05000229,Woolwich Common,Greenwich,95.17999999999999,30.2,84.7,0,0
E05000230,Woolwich Riverside,Greenwich,93.12,25.15,19.45,0,0
E05000250,Addison,Hammersmith and Fulham,45.78,55.47,23.669999999999998,46.21,0
E05000251,Askew,Hammersmith and Fulham,10.61,36.13,90.75999999999999,72.74000000000001,0
E05000252,Avonmore and Brook Green,Hammersmith and Fulham,31.179999999999996,60.79,17.19,24.87,0.08
E05000253,College Park and Old Oak,Hammersmith and Fulham,26.22,31.389999999999997,0,100,0
E05000254,Fulham Broadway,Hammersmith and Fulham,12.41,37.31,7.289999999999999,0.91,99.49
E05000255,Fulham Reach,Hammersmith and Fulham,75.32,42.559999999999995,2.71,0,99.71000000000001
E05000256,Hammersmith Broadway,Hammersmith and Fulham,30.85,24.95,74.9,24.9,24.77
E05000257,Munster,Hammersmith and Fulham,40.160000000000004,14.37,93.29,28.68,100
E05000258,North End,Hammersmith and Fulham,33.47,57.92,0,0.72,85.44
E05000259,Palace Riverside,Hammersmith and Fulham,75.15,61.45,99.98,36.120000000000005,100
E05000260,Parsons Green and Walham,Hammersmith and Fulham,4.81,86.16,18.96,68.97999999999999,100
E05000261,Ravenscourt Park,Hammersmith and Fulham,7.48,17.5,93.26,80.57,0.15
E05000262,Sands End,Hammersmith and Fulham,31.630000000000003,35.88,0.2,99.26,100
E05000263,Shepherd's Bush Green,Hammersmith and Fulham,26.11,86.14999999999999,46.12,91.28,0
E05000264,Town,Hammersmith and Fulham,10.98,19,80.72999999999999,40.76,100
E05000265,Wormholt and White City,Hammersmith and Fulham,10.729999999999999,81.39,23.93,100,0
E05000266,Alexandra,Haringey,27.91,28.46,6.800000000000001,100,0
E05000267,Bounds Green,Haringey,94.43,60.51,10.790000000000001,95.54,1.03
E05000268,Bruce Grove,Haringey,62.77,34.62,83.21,1.09,100
E05000269,Crouch End,Haringey,73.41,30.06,16.11,100,9.73
E05000270,Fortis Green,Haringey,41.75,61.870000000000005,50.05,100,0
E05000271,Harringay,Haringey,79.10000000000001,34.300000000000004,3.01,100,100
E05000272,Highgate,Haringey,90.99,26.22,87.98,100,0
E05000273,Hornsey,Haringey,58.77,29.79,0,100,39.99
E05000274,Muswell Hill,Haringey,77.32,41.28,68.64,100,0
E05000275,Noel Park,Haringey,53.370000000000005,27.01,43.72,100,98.65
E05000276,Northumberland Park,Haringey,93.13,24.6,39.81,0,100
E05000277,St. Ann's,Haringey,52.17,53,31.6,100,100
E05000278,Seven Sisters,Haringey,83.58000000000001,56.95,0,83.31,100
E05000279,Stroud Green,Haringey,66.89,23.31,0,100,100
E05000280,Tottenham Green,Haringey,81.60000000000001,41.620000000000005,37.01,33.52,100
E05000281,Tottenham Hale,Haringey,56.48,36.92999999999999,38.24,0,100
E05000282,West Green,Haringey,74.12,65.58999999999999,97.56,65.97999999999999,100
E05000283,White Hart Lane,Haringey,82.13999999999999,32.29,65.29,6.260000000000001,100
E05000284,Woodside,Haringey,56.68,68.22,33.76,99.4,82.34
E05000285,Belmont,Harrow,67.83,20.7,18.88,0,0
E05000286,Canons,Harrow,83.41000000000001,15.73,77.56,0,0
E05000287,Edgware,Harrow,83.89999999999999,44.31,32.029999999999994,6.950000000000001,0
E05000288,Greenhill,Harrow,77,9.53,83.39999999999999,0,0
E05000289,Harrow on the Hill,Harrow,79.83,13.94,31.41,24.18,0
E05000290,Harrow Weald,Harrow,75.4,28.54,1.23,0,0
E05000291,Hatch End,Harrow,76.12,0,5.13,0,0
E05000292,Headstone North,Harrow,87.16,6.239999999999999,61.7,0,0
E05000293,Headstone South,Harrow,49.769999999999996,0,99.7,0,0
E05000294,Kenton East,Harrow,44.489999999999995,32.15,0,67.45,0
E05000295,Kenton West,Harrow,64.49000000000001,44.71,8.28,3.02,0
E05000296,Marlborough,Harrow,49.440000000000005,32.78,46.97,0,0
E05000297,Pinner,Harrow,76.52000000000001,10.9,0.16,10.05,0
E05000298,Pinner South,Harrow,76.74,67.48,0.37,22.52,0
E05000299,Queensbury,Harrow,55.93,30.3,0.76,22.95,0
E05000300,Rayners Lane,Harrow,75.73,23.98,53.86,0,0
E05000301,Roxbourne,Harrow,89.53999999999999,21.14,47.349999999999994,0,0
E05000302,Roxeth,Harrow,78.58,44.89,49.75,16.25,0
E05000303,Stanmore Park,Harrow,82.28,17.71,13.120000000000001,0,0
E05000304,Wealdstone,Harrow,68.15,1.8399999999999999,1.59,0,0
E05000305,West Harrow,Harrow,79.17,28.13,52.65,0,0
E05000306,Brooklands,Havering,66,15.559999999999999,20.830000000000002,32.300000000000004,0
E05000307,Cranham,Havering,51.96000000000001,23.46,73.72999999999999,0,0
E05000308,Elm Park,Havering,51.24999999999999,7.630000000000001,47.28,100,0
E05000309,Emerson Park,Havering,40.290000000000006,14.099999999999998,9.78,0,0
E05000310,Gooshays,Havering,96.27,31.75,96.63,46.660000000000004,0
E05000311,Hacton,Havering,77.56,0,0,87.60999999999999,0
E05000312,Harold Wood,Havering,84.89,0,61.760000000000005,0.06999999999999999,0
E05000313,Havering Park,Havering,72.83999999999999,10.42,0,100,0
E05000314,Heaton,Havering,69.88000000000001,1.3399999999999999,16.6,78.83,0
E05000315,Hylands,Havering,78.34,14.69,40.32,52.17,0
E05000316,Mawneys,Havering,73.39,30.34,0,56.59,0
E05000317,Pettits,Havering,55.53,38.88,0,80.28999999999999,0
E05000318,Rainham and Wennington,Havering,59.919999999999995,38.37,0,0.89,0
E05000319,Romford Town,Havering,51.790000000000006,33.300000000000004,0,19.93,0
E05000320,St. Andrew's,Havering,73.4,11.41,4.97,51.129999999999995,0
E05000321,South Hornchurch,Havering,72.31,43.44,35.94,99.51,0
E05000322,Squirrel's Heath,Havering,54.38999999999999,11.62,3.9,0,0
E05000323,Upminster,Havering,48.43,17.04,2.46,4.9399999999999995,0
E05000324,Barnhill,Hillingdon,15.439999999999998,32.79,26.640000000000004,100,0
E05000325,Botwell,Hillingdon,27.01,33.25,85.19,41.669999999999995,0
E05000326,Brunel,Hillingdon,55.39999999999999,14.06,64.92,0.95,0
E05000327,Cavendish,Hillingdon,42.480000000000004,14.549999999999999,79.64,18.45,0
E05000328,Charville,Hillingdon,4.15,31,24.91,98.28,0
E05000329,Eastcote and East Ruislip,Hillingdon,33.94,51.18000000000001,1.47,94.67,0
E05000330,Harefield,Hillingdon,30.9,6.81,38.5,41.63,0
E05000331,Heathrow Villages,Hillingdon,6.5600000000000005,41.449999999999996,22.4,47.53,0
E05000332,Hillingdon East,Hillingdon,15.72,28.98,90.46000000000001,0.7799999999999999,0
E05000333,Ickenham,Hillingdon,14.75,14.99,92.43,0.02,0
E05000334,Manor,Hillingdon,16.009999999999998,12.960000000000003,83.27,66.10000000000001,0
E05000335,Northwood,Hillingdon,0,22.14,1,77.99000000000001,0
E05000336,Northwood Hills,Hillingdon,18.93,45.68,0,88.36,0
E05000337,Pinkwell,Hillingdon,2.3,41.49,56.220000000000006,0,0
E05000338,South Ruislip,Hillingdon,21.85,34.31,85.59,15.25,0
E05000339,Townfield,Hillingdon,21.8,38.93,70.99,87.85000000000001,0
E05000340,Uxbridge North,Hillingdon,37.42,14.829999999999998,95.24000000000001,0,0
E05000341,Uxbridge South,Hillingdon,52.33,49.65,27.33,0,0
E05000342,West Drayton,Hillingdon,24.42,19.869999999999997,19.13,17.16,0
E05000343,West Ruislip,Hillingdon,45.58,18.3,40.599999999999994,80.87,0
E05000344,Yeading,Hillingdon,30.560000000000002,21.529999999999998,26.279999999999998,100,0
E05000345,Yiewsley,Hillingdon,52.739999999999995,45.050000000000004,22.48,0,0
E05000346,Bedfont,Hounslow,73.91,14.93,21.97,93.89999999999999,0
E05000347,Brentford,Hounslow,38.720000000000006,31.339999999999996,43.010000000000005,99.83,23.119999999999997
E05000348,Chiswick Homefields,Hounslow,17.69,64.94,57.17,100,49.16
E05000349,Chiswick Riverside,Hounslow,45.1,29.970000000000002,21.060000000000002,100,100
E05000350,Cranford,Hounslow,3.83,52.849999999999994,40.23,52.23,0
E05000351,Feltham North,Hounslow,51.28,51.34000000000001,69.65,85.71,0
E05000352,Feltham West,Hounslow,70.98,59.830000000000005,33.17,48.05,0
E05000353,Hanworth,Hounslow,20.029999999999998,51.24999999999999,84.64,49.95,0
E05000354,Hanworth Park,Hounslow,38.39,53.17999999999999,85.99,36.69,0
E05000355,Heston Central,Hounslow,0.27999999999999997,46.29,61.61,100,0
E05000356,Heston East,Hounslow,14.790000000000001,65.08,42.92,100,0
E05000357,Heston West,Hounslow,31.89,46.26,20.11,77.46000000000001,0
E05000358,Hounslow Central,Hounslow,0,64.46000000000001,60.97,100,0
E05000359,Hounslow Heath,Hounslow,0.8500000000000001,0.62,30.970000000000002,100,0
E05000360,Hounslow South,Hounslow,21.47,29.84,10.13,72.72999999999999,6.1
E05000361,Hounslow West,Hounslow,2.2199999999999998,19.15,54.39000000000001,100,0
E05000362,Isleworth,Hounslow,55.48,47.52,91.84,87.79,85.84
E05000363,Osterley and Spring Grove,Hounslow,10.75,27.83,4.09,100,0
E05000364,Syon,Hounslow,54.6,35.94,30.15,100,11.92
E05000365,Turnham Green,Hounslow,2.35,49.25000000000001,0.43,100,47
E05000366,Barnsbury,Islington,99.79,79.25999999999999,0,0.63,16.78
E05000367,Bunhill,Islington,97.42999999999999,52.629999999999995,0,0,0
E05000368,Caledonian,Islington,98.24,44.76,0,24.66,0
E05000369,Canonbury,Islington,99.13,58.620000000000005,0,0.47000000000000003,100
E05000370,Clerkenwell,Islington,99.25,54.58,0,0.2,0
E05000371,Finsbury Park,Islington,96.69,32.21,0.12,100,96.94
E05000372,Highbury East,Islington,85.7,44.2,59.43000000000001,95.71,100
E05000373,Highbury West,Islington,67.7,59.06,45.48,100,98.18
E05000374,Hillrise,Islington,100,63.18999999999999,0,100,4.88
E05000375,Holloway,Islington,96.92,75.53999999999999,0,72.71,8.33
E05000376,Junction,Islington,78.99000000000001,68.16,0,100,0
E05000377,Mildmay,Islington,100,4.21,50.5,44.04,100
E05000378,St. George's,Islington,84.64,61.519999999999996,0,100,1.3299999999999998
E05000379,St. Mary's,Islington,99.69,93.19,0,7.02,85.72000000000001
E05000380,St. Peter's,Islington,100,67.58,0,0,61.12
E05000381,Tollington,Islington,98.88,78.98,0,100,51.910000000000004
E05000400,Alexandra,Kingston upon Thames,43.370000000000005,20.53,0,0,20.48
E05000401,Berrylands,Kingston upon Thames,23.65,31.240000000000002,0,0,100
