Ward,Old ward code,Ward name,Borough Code,Borough,% homes with good access to all four types of public open space,% homes deficient in access to:;Regional Park,% homes deficient in access to:;Metropolitan Park,% homes deficient in access to:;District Park,"% homes deficient in access to:;Local, Small or Pocket Park"
E05000443,00AZGK,Evelyn,E09000023,Lewisham,0,98.6,9.4,70.3,23.7
E05000444,00AZGL,Forest Hill,E09000023,Lewisham,0,100,10.2,74.9,46.4
E05000445,00AZGM,Grove Park,E09000023,Lewisham,0,100,41.4,67,52.5
E05000446,00AZGN,Ladywell,E09000023,Lewisham,0,100,0,0,42.6
E05000447,00AZGP,Lee Green,E09000023,Lewisham,0,100,0,80.4,35.3
E05000448,00AZGQ,Lewisham Central,E09000023,Lewisham,0,100,0.1,30.9,35
E05000449,00AZGR,New Cross,E09000023,Lewisham,0,100,31.1,99.6,26.5
E05000450,00AZGS,Perry Vale,E09000023,Lewisham,0,100,2.5,96.5,83.4
E05000451,00AZGT,Rushey Green,E09000023,Lewisham,0,100,8,13.2,41.1
E05000452,00AZGU,Sydenham,E09000023,Lewisham,0,100,0,52.2,40.2
E05000453,00AZGW,Telegraph Hill,E09000023,Lewisham,0,100,59.8,83.2,36.4
E05000454,00AZGX,Whitefoot,E09000023,Lewisham,0,100,3.2,70.5,63.3
E05000455,00BAFX,Abbey,E09000024,Merton,11,0,0.5,59.2,59
E05000456,00BAFY,Cannon Hill,E09000024,Merton,33.7,0,40.9,0,28.4
E05000457,00BAFZ,Colliers Wood,E09000024,Merton,0,0,0,94.9,38.9
E05000458,00BAGA,Cricket Green,E09000024,Merton,95.9,0,0,0.2,3.8
E05000459,00BAGB,Dundonald,E09000024,Merton,0.4,0,0,72.6,71.6
E05000460,00BAGC,Figge's Marsh,E09000024,Merton,55.4,0,0,12.1,33.7
E05000461,00BAGD,Graveney,E09000024,Merton,1.3,0,0,75.5,61.3
E05000462,00BAGE,Hillside,E09000024,Merton,2.6,0,0,27.9,96.5
E05000463,00BAGF,Lavender Fields,E09000024,Merton,19.6,0,0,55.2,50.1
E05000464,00BAGG,Longthornton,E09000024,Merton,24.5,0.3,0,55.9,35.2
E05000465,00BAGH,Lower Morden,E09000024,Merton,23,0,53.1,21,37.6
E05000466,00BAGJ,Merton Park,E09000024,Merton,49.3,0,24.3,18.8,24.1
E05000467,00BAGK,Pollards Hill,E09000024,Merton,52.9,38.3,0,0,11.9
E05000468,00BAGL,Ravensbury,E09000024,Merton,84.1,0.2,0.2,7.1,8.7
E05000469,00BAGM,Raynes Park,E09000024,Merton,5.5,0,0,75.6,76.3
E05000470,00BAGN,St. Helier,E09000024,Merton,28.4,0,34.2,18.8,42.1
E05000471,00BAGP,Trinity,E09000024,Merton,0,0,0,100,28
E05000472,00BAGQ,Village,E09000024,Merton,42,0,0,14.3,50.5
E05000473,00BAGR,West Barnes,E09000024,Merton,11.5,0.1,43.6,41.2,78.4
E05000474,00BAGS,Wimbledon Park,E09000024,Merton,33.6,0,0,38.3,65.3
E05000475,00BBGB,Beckton,E09000025,Newham,0,51.1,100,23.7,57.7
E05000476,00BBGC,Boleyn,E09000025,Newham,9,0,74.2,14.8,33.3
E05000477,00BBGD,Canning Town North,E09000025,Newham,0,0,100,100,7.9
E05000478,00BBGE,Canning Town South,E09000025,Newham,0,0,100,97.4,36.6
E05000479,00BBGF,Custom House,E09000025,Newham,0,1.1,100,24.6,2.1
E05000480,00BBGG,East Ham Central,E09000025,Newham,1.2,0,91.5,0,55.6
E05000481,00BBGH,East Ham North,E09000025,Newham,0.3,0,0,99.1,65.4
E05000482,00BBGJ,East Ham South,E09000025,Newham,0,0,100,3.1,42.6
E05000483,00BBGK,Forest Gate North,E09000025,Newham,30.5,0,0,18.9,54.6
E05000484,00BBGL,Forest Gate South,E09000025,Newham,25.2,0,4.6,7.6,74.8
E05000485,00BBGM,Green Street East,E09000025,Newham,5.7,0,0,62.6,77.5
E05000486,00BBGN,Green Street West,E09000025,Newham,19.2,0,0,2,80.8
E05000487,00BBGP,Little Ilford,E09000025,Newham,0,0,0,99.9,44.5
E05000488,00BBGQ,Manor Park,E09000025,Newham,0,0,0,98.8,86.8
E05000489,00BBGR,Plaistow North,E09000025,Newham,49.9,0,37.2,18.9,15.6
E05000490,00BBGS,Plaistow South,E09000025,Newham,0,0,100,46.9,9.8
E05000491,00BBGT,Royal Docks,E09000025,Newham,0,53.6,100,100,58.2
E05000492,00BBGU,Stratford and New Town,E09000025,Newham,16.4,0,0,79.8,39.2
E05000493,00BBGW,Wall End,E09000025,Newham,0,0,100,49.4,72.4
E05000494,00BBGX,West Ham,E09000025,Newham,49.3,0,48.4,5.6,19
E05000495,00BCFY,Aldborough,E09000026,Redbridge,6.7,0.4,34.2,61.4,76.4
E05000496,00BCFZ,Barkingside,E09000026,Redbridge,26.3,0,0,46.7,58.9
E05000497,00BCGA,Bridge,E09000026,Redbridge,65.9,0,0,0,34.1
E05000498,00BCGB,Chadwell,E09000026,Redbridge,0,98.4,80.9,98.6,39.9
E05000499,00BCGC,Church End,E09000026,Redbridge,73.1,0,0,0.8,26.6
E05000500,00BCGD,Clayhall,E09000026,Redbridge,31.2,0,0,26.6,56.7
E05000501,00BCGE,Clementswood,E09000026,Redbridge,20.6,0,25.2,62.6,34.1
E05000502,00BCGF,Cranbrook,E09000026,Redbridge,67.1,0,0,0,32.9
E05000503,00BCGG,Fairlop,E09000026,Redbridge,39.6,0,0,22.6,51.8
E05000504,00BCGH,Fullwell,E09000026,Redbridge,46.6,0,0,6,48.4
E05000505,00BCGJ,Goodmayes,E09000026,Redbridge,2.4,35.3,18.4,90.9,64.8
E05000506,00BCGK,Hainault,E09000026,Redbridge,47.7,0.6,0,11.5,51.1
E05000507,00BCGL,Loxford,E09000026,Redbridge,24.1,0,39.8,10.4,62.7
E05000508,00BCGM,Mayfield,E09000026,Redbridge,14.4,24.5,36.6,21.6,46.1
E05000509,00BCGN,Monkhams,E09000026,Redbridge,80.9,0,0,0,19.1
E05000510,00BCGP,Newbury,E09000026,Redbridge,16.4,0,41.1,15.6,75.7
E05000511,00BCGQ,Roding,E09000026,Redbridge,58.7,0,0,0,41.3
E05000512,00BCGR,Seven Kings,E09000026,Redbridge,2.3,10,97.1,14.6,37.3
E05000513,00BCGS,Snaresbrook,E09000026,Redbridge,74.1,0,0,1.7,25.9
E05000514,00BCGT,Valentines,E09000026,Redbridge,38.2,0,0,0,61.8
E05000515,00BCGU,Wanstead,E09000026,Redbridge,72.1,0,0,0.1,27.9
E05000516,00BDFW,Barnes,E09000027,Richmond upon Thames,39.5,0,0,52.3,44.2
E05000517,00BDFX,East Sheen,E09000027,Richmond upon Thames,40.9,0,0,7.6,52.1
E05000518,00BDFY,Fulwell and Hampton Hill,E09000027,Richmond upon Thames,37.7,0,0,13.6,62.2
E05000519,00BDFZ,"Ham, Petersham and Richmond Riverside",E09000027,Richmond upon Thames,90.7,0,0,0,9.3
E05000520,00BDGA,Hampton,E09000027,Richmond upon Thames,38.8,1.3,0,55.8,36.9
E05000521,00BDGB,Hampton North,E09000027,Richmond upon Thames,9.1,0,0,83,32.2
E05000522,00BDGC,Hampton Wick,E09000027,Richmond upon Thames,48.4,0,0,4.6,48.4
E05000523,00BDGD,Heathfield,E09000027,Richmond upon Thames,67.6,0,0,2.5,32.4
E05000524,00BDGE,Kew,E09000027,Richmond upon Thames,0.6,0,0,92.9,64.3
E05000525,00BDGF,Mortlake and Barnes Common,E09000027,Richmond upon Thames,71.7,0,0,1,27.7
E05000526,00BDGG,North Richmond,E09000027,Richmond upon Thames,33.1,0,0,22.9,62.3
E05000527,00BDGH,St. Margarets and North Twickenham,E09000027,Richmond upon Thames,38.5,0,10.7,35,42.8
E05000528,00BDGJ,South Richmond,E09000027,Richmond upon Thames,73.2,0,0,1.5,26.3
E05000529,00BDGK,South Twickenham,E09000027,Richmond upon Thames,1.4,0,0,97.4,43.3
E05000530,00BDGL,Teddington,E09000027,Richmond upon Thames,58,0,0,11.8,37.8
E05000531,00BDGM,Twickenham Riverside,E09000027,Richmond upon Thames,60.1,0,0,15,28.3
E05000532,00BDGN,West Twickenham,E09000027,Richmond upon Thames,32.2,0,0,56.6,45.4
E05000533,00BDGP,Whitton,E09000027,Richmond upon Thames,0,0,0,85.2,60.2
E05000534,00BEGC,Brunswick Park,E09000028,Southwark,0,100,100,26.1,34
E05000535,00BEGD,Camberwell Green,E09000028,Southwark,0,100,100,4.3,49.4
E05000536,00BEGE,Cathedrals,E09000028,Southwark,0,58.9,100,100,59.7
E05000537,00BEGF,Chaucer,E09000028,Southwark,0,58.8,100,100,21.5
E05000538,00BEGG,College,E09000028,Southwark,0,100,3.3,37.3,62.5
E05000539,00BEGH,East Dulwich,E09000028,Southwark,0,100,98.6,1.1,89.9
E05000540,00BEGJ,East Walworth,E09000028,Southwark,0,100,100,23.6,24
E05000541,00BEGK,Faraday,E09000028,Southwark,0,100,100,0,32.7
E05000542,00BEGL,Grange,E09000028,Southwark,0,36.2,100,60.5,31.8
E05000543,00BEGM,Livesey,E09000028,Southwark,0,96.1,100,41.6,19.5
E05000544,00BEGN,Newington,E09000028,Southwark,0,100,100,45.2,22.9
E05000545,00BEGP,Nunhead,E09000028,Southwark,0,100,100,42,70.6
E05000546,00BEGQ,Peckham,E09000028,Southwark,0,100,100,6.1,66.4
E05000547,00BEGR,Peckham Rye,E09000028,Southwark,0,100,100,0.3,20.2
E05000548,00BEGS,Riverside,E09000028,Southwark,0,0,100,38,54.9
E05000549,00BEGT,Rotherhithe,E09000028,Southwark,0.5,3,95.9,3.5,44.2
E05000550,00BEGU,South Bermondsey,E09000028,Southwark,0,99.9,100,0.9,91.4
E05000551,00BEGW,South Camberwell,E09000028,Southwark,0,100,100,73.8,57.2
E05000552,00BEGX,Surrey Docks,E09000028,Southwark,0.5,18.5,87.6,60.3,81.3
E05000553,00BEGY,The Lane,E09000028,Southwark,0,100,100,8,37.2
E05000554,00BEGZ,Village,E09000028,Southwark,0,100,88.3,11.4,47.7
E05000555,00BFGC,Beddington North,E09000029,Sutton,0.5,99.5,0,27.2,22.1
E05000556,00BFGD,Beddington South,E09000029,Sutton,0,100,0,4,18.8
E05000557,00BFGE,Belmont,E09000029,Sutton,0,100,50.8,98,25.1
E05000558,00BFGF,Carshalton Central,E09000029,Sutton,0,87.9,0,86.7,34.9
E05000559,00BFGG,Carshalton South and Clockhouse,E09000029,Sutton,0,100,15,100,13.5
E05000560,00BFGH,Cheam,E09000029,Sutton,18.1,67.2,1,38.6,59.1
E05000561,00BFGJ,Nonsuch,E09000029,Sutton,55.1,0,0,33.4,18.2
E05000562,00BFGK,St. Helier,E09000029,Sutton,25.6,0,7.8,65.4,8.7
E05000563,00BFGL,Stonecot,E09000029,Sutton,16.3,0,19.6,69.1,38.8
E05000564,00BFGM,Sutton Central,E09000029,Sutton,0,30.7,4.3,100,8.7
E05000565,00BFGN,Sutton North,E09000029,Sutton,0,0,39.3,100,11.1
E05000566,00BFGP,Sutton South,E09000029,Sutton,0,100,16.7,100,53.9
E05000567,00BFGQ,Sutton West,E09000029,Sutton,9.5,52.7,0,77.2,46.7
E05000568,00BFGR,The Wrythe,E09000029,Sutton,11.1,9.7,0,82,4.6
E05000569,00BFGS,Wallington North,E09000029,Sutton,0,100,0,8.5,36.1
E05000570,00BFGT,Wallington South,E09000029,Sutton,0,100,0,69.8,53
E05000571,00BFGU,Wandle Valley,E09000029,Sutton,84.1,0,0,1.3,14.6
E05000572,00BFGW,Worcester Park,E09000029,Sutton,6.9,0,5.7,93.1,32.9
E05000573,00BGFW,Bethnal Green North,E09000030,Tower Hamlets,86.5,0,0,0,13.5
E05000574,00BGFX,Bethnal Green South,E09000030,Tower Hamlets,38.9,0,0,60.9,10.3
E05000575,00BGFY,Blackwall and Cubitt Town,E09000030,Tower Hamlets,38.7,1.2,29.4,43.7,18.3
E05000576,00BGFZ,Bow East,E09000030,Tower Hamlets,45.5,0,0,13.3,46
E05000577,00BGGA,Bow West,E09000030,Tower Hamlets,92.5,0,0,0,7.5
E05000578,00BGGB,Bromley-by-Bow,E09000030,Tower Hamlets,29.8,0,0,68.5,18.3
E05000579,00BGGC,East India and Lansbury,E09000030,Tower Hamlets,0.4,0,54.5,99.6,19.3
E05000580,00BGGD,Limehouse,E09000030,Tower Hamlets,61.2,0,19,35.7,8.3
E05000581,00BGGE,Mile End and Globe Town,E09000030,Tower Hamlets,86.9,0,0,0,13.1
E05000582,00BGGF,Mile End East,E09000030,Tower Hamlets,90.6,0,0,3.3,6.5
E05000583,00BGGG,Millwall,E09000030,Tower Hamlets,6.7,0,5.5,63.2,57.3
E05000584,00BGGH,St. Dunstan's and Stepney Green,E09000030,Tower Hamlets,82,0,0,18,0.1
E05000585,00BGGJ,St. Katharine's and Wapping,E09000030,Tower Hamlets,0,0,99.4,100,5
E05000586,00BGGK,Shadwell,E09000030,Tower Hamlets,17.2,0,7.8,82.8,6.4
E05000587,00BGGL,Spitalfields and Banglatown,E09000030,Tower Hamlets,0.3,0,18.5,99.7,29.6
E05000588,00BGGM,Weavers,E09000030,Tower Hamlets,95.5,0,0,4.2,0.4
E05000589,00BGGN,Whitechapel,E09000030,Tower Hamlets,0.9,0,17.3,99.1,7.9
E05000590,00BHFX,Cann Hall,E09000031,Waltham Forest,71.5,0,0,1.8,27.2
E05000591,00BHFY,Cathall,E09000031,Waltham Forest,28.3,0,0,65.9,22.9
E05000592,00BHFZ,Chapel End,E09000031,Waltham Forest,41.6,0,0,10.8,52.2
E05000593,00BHGA,Chingford Green,E09000031,Waltham Forest,81,0,0,0,19
E05000594,00BHGB,Endlebury,E09000031,Waltham Forest,57.5,0,0,17,35.3
E05000595,00BHGC,Forest,E09000031,Waltham Forest,55.9,0,0,18,26.6
E05000596,00BHGD,Grove Green,E09000031,Waltham Forest,12.8,0,0,87.2,39.6
E05000597,00BHGE,Hale End and Highams Park,E09000031,Waltham Forest,59.5,0,0,15.9,27.2
E05000598,00BHGF,Hatch Lane,E09000031,Waltham Forest,63.9,0,0,0,36.1
E05000599,00BHGG,High Street,E09000031,Waltham Forest,62.3,0,0,34.8,10.7
E05000600,00BHGH,Higham Hill,E09000031,Waltham Forest,46.5,0,0,6.8,52.4
E05000601,00BHGJ,Hoe Street,E09000031,Waltham Forest,20,0,0,79.4,17.5
E05000602,00BHGK,Larkswood,E09000031,Waltham Forest,21.5,0,0,67.3,22.9
E05000603,00BHGL,Lea Bridge,E09000031,Waltham Forest,52.4,0,0,41.9,11.3
E05000604,00BHGM,Leyton,E09000031,Waltham Forest,23.9,0,0,71.2,22.8
E05000605,00BHGN,Leytonstone,E09000031,Waltham Forest,53.4,0,0,9.2,39.5
E05000606,00BHGP,Markhouse,E09000031,Waltham Forest,46.7,0,0,36.1,32.3
E05000607,00BHGQ,Valley,E09000031,Waltham Forest,58.8,0,0,12.9,32
E05000608,00BHGR,William Morris,E09000031,Waltham Forest,20.6,0,0,71.6,26
E05000609,00BHGS,Wood Street,E09000031,Waltham Forest,59.8,0,0,1.8,40
E05000610,00BJFZ,Balham,E09000032,Wandsworth,30,0,0,0,70
E05000611,00BJGA,Bedford,E09000032,Wandsworth,51.6,0.2,0.2,0.2,48.4
E05000612,00BJGB,Earlsfield,E09000032,Wandsworth,30.8,2.6,2.6,37.5,48.8
E05000613,00BJGC,East Putney,E09000032,Wandsworth,12,0,0,9.7,88
E05000614,00BJGD,Fairfield,E09000032,Wandsworth,52.1,1.3,0.1,4.8,47.9
E05000615,00BJGE,Furzedown,E09000032,Wandsworth,38.1,0,0,5.5,61.9
E05000616,00BJGF,Graveney,E09000032,Wandsworth,11.4,0,0,27.8,88.4
E05000617,00BJGG,Latchmere,E09000032,Wandsworth,59.6,0,0,4.9,37.1
E05000618,00BJGH,Nightingale,E09000032,Wandsworth,33.4,0,0,0,66.6
E05000619,00BJGJ,Northcote,E09000032,Wandsworth,83.1,0,0,0,16.9
E05000620,00BJGK,Queenstown,E09000032,Wandsworth,50,0,0,9.6,46.8
E05000621,00BJGL,Roehampton and Putney Heath,E09000032,Wandsworth,35.5,0.6,0.6,5.3,64.5
E05000622,00BJGM,St. Mary's Park,E09000032,Wandsworth,47.5,0,0,7.7,45.4
E05000623,00BJGN,Shaftesbury,E09000032,Wandsworth,48.6,0,0,1,51.4
E05000624,00BJGP,Southfields,E09000032,Wandsworth,63,0,0,0,37
E05000625,00BJGQ,Thamesfield,E09000032,Wandsworth,38.1,0,0,9.1,52.9
E05000626,00BJGR,Tooting,E09000032,Wandsworth,0.5,0,0,68.9,70.4
E05000627,00BJGS,Wandsworth Common,E09000032,Wandsworth,58.9,0.9,0.4,0.9,41.1
E05000628,00BJGT,West Hill,E09000032,Wandsworth,30.7,0,0,5.9,69.3
E05000629,00BJGU,West Putney,E09000032,Wandsworth,23.8,0.2,0.2,0.2,76.2
E05000630,00BKGA,Abbey Road,E09000033,Westminster,0,100,0,59.3,48.7
E05000631,00BKGB,Bayswater,E09000033,Westminster,0,100,0,28.1,5.5
E05000632,00BKGC,Bryanston and Dorset Square,E09000033,Westminster,0,100,0,0,65.4
E05000633,00BKGD,Churchill,E09000033,Westminster,53.2,0,0,18.8,38.3
E05000634,00BKGE,Church Street,E09000033,Westminster,0,100,0,2.3,34.7
E05000635,00BKGF,Harrow Road,E09000033,Westminster,0,100,0,100,17.8
E05000636,00BKGG,Hyde Park,E09000033,Westminster,0,100,0,0,13.6
E05000637,00BKGH,Knightsbridge and Belgravia,E09000033,Westminster,60.2,0.5,0,7.9,31.4
E05000638,00BKGJ,Lancaster Gate,E09000033,Westminster,17.5,79.6,0,0,39.5
E05000639,00BKGK,Little Venice,E09000033,Westminster,0,100,0,80.3,39.8
E05000640,00BKGL,Maida Vale,E09000033,Westminster,0,100,0,100,12.4
E05000641,00BKGM,Marylebone High Street,E09000033,Westminster,0,100,0,0,35.8
E05000642,00BKGN,Queen's Park,E09000033,Westminster,0,100,0.1,100,45.2
E05000643,00BKGP,Regent's Park,E09000033,Westminster,0,100,0,5.2,20
E05000644,00BKGQ,St. James's,E09000033,Westminster,3.1,86.3,0.2,15.8,4
E05000645,00BKGR,Tachbrook,E09000033,Westminster,0,74.7,0,100,6.1
E05000646,00BKGS,Vincent Square,E09000033,Westminster,0,100,0,36.5,6.9
E05000647,00BKGT,Warwick,E09000033,Westminster,32.9,12.1,0,58.7,15.2
E05000648,00BKGU,Westbourne,E09000033,Westminster,0,100,0,100,4.8
E05000649,00BKGW,West End,E09000033,Westminster,0,100,0,10.2,14.9
E09000001,00AA,City of London,E09000001,City of London,0,0.4,98.4,100,9.8
E12000007,H,,E12000007,London,16.6,50.7,19.4,43.3,45.5
